corpo;dorso;peito;garupa;espadua;torax;alturaCernelha;ancas;relacaoDorsoGarupa;relacaoAltCernelhaCorpo;relacaoAncasDorso;relacaoToracicoAlturaCernelha;sexo;classe
1.38;1.35;0.31;1.38;0.44;1.62;1.36;0.41;0.97826087;0.985507246;0.303703704;1.191176471;0;1
1.5;1.44;0.34;1.47;0.46;1.72;1.43;0.45;0.979591837;0.953333333;0.3125;1.202797203;0;0
1.41;1.34;0.33;1.38;0.57;1.65;1.37;0.43;0.971014493;0.971631206;0.320895522;1.204379562;1;1
1.43;1.35;0.33;1.39;0.51;1.64;1.39;0.41;0.971223022;0.972027972;0.303703704;1.179856115;1;1
1.49;1.4;0.35;1.46;0.44;1.73;1.45;0.45;0.95890411;0.973154362;0.321428571;1.193103448;1;2
1.47;1.4;0.38;1.4;0.49;1.66;1.39;0.48;1;0.945578231;0.342857143;1.194244604;0;0
1.48;1.38;0.35;1.46;0.6;1.65;1.45;0.46;0.945205479;0.97972973;0.333333333;1.137931034;0;2
1.4;1.34;0.33;1.35;0.5;1.57;1.3;0.45;0.992592593;0.928571429;0.335820896;1.207692308;1;0
1.42;1.35;0.32;1.34;0.55;1.6;1.32;0.46;1.007462687;0.929577465;0.340740741;1.212121212;1;0
1.4;1.3;0.33;1.31;0.43;1.73;1.31;0.46;0.992366412;0.935714286;0.353846154;1.320610687;1;0
1.45;1.36;0.33;1.36;0.45;1.53;1.35;0.46;1;0.931034483;0.338235294;1.133333333;0;0
1.4;1.33;0.32;1.37;0.54;1.5;1.36;0.44;0.97080292;0.971428571;0.330827068;1.102941176;1;1
1.47;1.39;0.33;1.42;0.49;1.63;1.33;0.43;0.978873239;0.904761905;0.309352518;1.22556391;1;0
1.39;1.33;0.33;1.38;0.57;1.7;1.35;0.43;0.963768116;0.971223022;0.323308271;1.259259259;1;1
1.45;1.4;0.36;1.45;0.64;1.88;1.43;0.43;0.965517241;0.986206897;0.307142857;1.314685315;0;2
1.41;1.37;0.32;1.42;0.46;1.68;1.39;0.42;0.964788732;0.985815603;0.306569343;1.208633094;0;1
1.42;1.36;0.34;1.37;0.48;1.6;1.36;0.42;0.99270073;0.957746479;0.308823529;1.176470588;0;0
1.4;1.37;0.41;1.39;0.56;1.58;1.37;0.48;0.985611511;0.978571429;0.350364964;1.153284672;1;2
1.42;1.36;0.34;1.39;0.46;1.65;1.34;0.46;0.978417266;0.943661972;0.338235294;1.231343284;1;0
1.4;1.3;0.33;1.39;0.57;1.47;1.37;0.44;0.935251799;0.978571429;0.338461538;1.072992701;1;1
1.4;1.36;0.33;1.4;0.55;1.75;1.37;0.42;0.971428571;0.978571429;0.308823529;1.277372263;1;1
1.43;1.33;0.37;1.42;0.57;1.72;1.41;0.46;0.936619718;0.986013986;0.345864662;1.219858156;1;2
1.46;1.38;0.35;1.44;0.59;1.6;1.43;0.52;0.958333333;0.979452055;0.376811594;1.118881119;1;2
1.45;1.42;0.36;1.44;0.47;1.64;1.32;0.46;0.986111111;0.910344828;0.323943662;1.242424242;1;0
1.42;1.36;0.34;1.43;0.59;1.57;1.42;0.46;0.951048951;1;0.338235294;1.105633803;1;2
1.45;1.36;0.36;1.48;0.59;1.61;1.46;0.36;0.918918919;1.006896552;0.264705882;1.102739726;0;0
1.52;1.45;0.38;1.48;0.61;1.8;1.47;0.45;0.97972973;0.967105263;0.310344828;1.224489796;0;2
1.43;1.32;0.3;1.37;0.45;1.66;1.36;0.44;0.96350365;0.951048951;0.333333333;1.220588235;0;0
1.48;1.41;0.36;1.49;0.56;1.7;1.49;0.45;0.946308725;1.006756757;0.319148936;1.140939597;0;0
1.42;1.34;0.32;1.37;0.57;1.52;1.36;0.41;0.97810219;0.957746479;0.305970149;1.117647059;1;1
1.41;1.35;0.35;1.4;0.55;1.6;1.41;0.44;0.964285714;1;0.325925926;1.134751773;0;1
1.35;1.32;0.31;1.33;0.51;1.57;1.31;0.46;0.992481203;0.97037037;0.348484848;1.198473282;1;0
1.45;1.38;0.33;1.41;0.43;1.57;1.34;0.42;0.978723404;0.924137931;0.304347826;1.171641791;1;0
1.39;1.38;0.33;1.45;0.54;1.68;1.44;0.44;0.951724138;1.035971223;0.31884058;1.166666667;0;0
1.45;1.3;0.26;1.35;0.46;1.64;1.35;0.42;0.962962963;0.931034483;0.323076923;1.214814815;0;0
1.5;1.34;0.32;1.41;0.59;1.6;1.39;0.45;0.95035461;0.926666667;0.335820896;1.151079137;1;2
1.37;1.34;0.3;1.39;0.48;1.59;1.37;0.4;0.964028777;1;0.298507463;1.160583942;1;1
1.52;1.48;0.36;1.52;0.57;1.8;1.5;0.43;0.973684211;0.986842105;0.290540541;1.2;0;2
1.35;1.3;0.3;1.37;0.45;1.62;1.35;0.42;0.948905109;1;0.323076923;1.2;0;0
1.47;1.38;0.43;1.44;0.59;1.59;1.44;0.54;0.958333333;0.979591837;0.391304348;1.104166667;0;2
1.47;1.41;0.3;1.43;0.54;1.6;1.45;0.42;0.986013986;0.986394558;0.29787234;1.103448276;1;2
1.49;1.38;0.39;1.41;0.61;1.56;1.4;0.46;0.978723404;0.939597315;0.333333333;1.114285714;0;0
1.4;1.36;0.33;1.39;0.44;1.66;1.38;0.44;0.978417266;0.985714286;0.323529412;1.202898551;0;1
1.4;1.33;0.28;1.37;0.47;1.7;1.37;0.47;0.97080292;0.978571429;0.353383459;1.240875912;0;0
1.38;1.33;0.26;1.37;0.43;1.61;1.35;0.42;0.97080292;0.97826087;0.315789474;1.192592593;0;1
1.44;1.38;0.36;1.43;0.48;1.68;1.43;0.47;0.965034965;0.993055556;0.34057971;1.174825175;0;2
1.4;1.35;0.27;1.37;0.43;1.61;1.38;0.38;0.98540146;0.985714286;0.281481481;1.166666667;0;1
1.35;1.33;0.31;1.38;0.44;1.58;1.36;0.41;0.963768116;1.007407407;0.308270677;1.161764706;0;1
1.48;1.36;0.27;1.38;0.54;1.71;1.4;0.46;0.985507246;0.945945946;0.338235294;1.221428571;1;1
1.35;1.29;0.3;1.35;0.43;1.6;1.35;0.39;0.955555556;1;0.302325581;1.185185185;0;1
1.44;1.38;0.35;1.37;0.58;1.67;1.36;0.47;1.00729927;0.944444444;0.34057971;1.227941176;0;0
1.48;1.41;0.37;1.47;0.57;1.69;1.46;0.45;0.959183673;0.986486486;0.319148936;1.157534247;1;2
1.45;1.38;0.36;1.42;0.56;1.6;1.41;0.45;0.971830986;0.972413793;0.326086957;1.134751773;0;2
1.41;1.38;0.33;1.4;0.57;1.6;1.41;0.41;0.985714286;1;0.297101449;1.134751773;0;2
1.44;1.36;0.32;1.42;0.61;1.66;1.41;0.44;0.957746479;0.979166667;0.323529412;1.177304965;1;2
1.48;1.34;0.37;1.4;0.58;1.6;1.4;0.47;0.957142857;0.945945946;0.350746269;1.142857143;1;2
1.44;1.38;0.3;1.43;0.47;1.64;1.34;0.42;0.965034965;0.930555556;0.304347826;1.223880597;1;0
1.48;1.32;0.32;1.4;0.57;1.66;1.37;0.46;0.942857143;0.925675676;0.348484848;1.211678832;1;1
1.45;1.33;0.38;1.42;0.56;1.68;1.4;0.46;0.936619718;0.965517241;0.345864662;1.2;0;2
1.43;1.35;0.3;1.38;0.46;1.67;1.38;0.44;0.97826087;0.965034965;0.325925926;1.210144928;0;0
1.46;1.34;0.37;1.44;0.57;1.61;1.41;0.46;0.930555556;0.965753425;0.343283582;1.141843972;0;2
1.38;1.36;0.27;1.4;0.48;1.61;1.4;0.37;0.971428571;1.014492754;0.272058824;1.15;0;1
1.38;1.33;0.33;1.37;0.55;1.52;1.35;0.41;0.97080292;0.97826087;0.308270677;1.125925926;0;0
1.32;1.36;0.24;1.37;0.45;1.63;1.37;0.38;0.99270073;1.037878788;0.279411765;1.189781022;0;1
1.4;1.31;0.21;1.35;0.4;1.6;1.35;0.35;0.97037037;0.964285714;0.267175573;1.185185185;0;0
1.48;1.39;0.34;1.46;0.6;1.6;1.45;0.43;0.952054795;0.97972973;0.309352518;1.103448276;0;2
1.44;1.34;0.32;1.39;0.56;1.71;1.4;0.43;0.964028777;0.972222222;0.320895522;1.221428571;0;1
1.4;1.34;0.36;1.41;0.47;1.69;1.38;0.49;0.95035461;0.985714286;0.365671642;1.224637681;1;1
1.47;1.34;0.3;1.37;0.51;1.6;1.35;0.43;0.97810219;0.918367347;0.320895522;1.185185185;1;1
1.42;1.38;0.32;1.41;0.46;1.5;1.33;0.46;0.978723404;0.936619718;0.333333333;1.127819549;1;0
1.45;1.32;0.3;1.36;0.5;1.65;1.36;0.42;0.970588235;0.937931034;0.318181818;1.213235294;0;0
1.45;1.35;0.35;1.39;0.53;1.63;1.39;0.45;0.971223022;0.95862069;0.333333333;1.172661871;1;2
1.47;1.44;0.38;1.48;0.57;1.82;1.46;0.44;0.972972973;0.993197279;0.305555556;1.246575342;0;2
1.47;1.36;0.39;1.44;0.59;1.59;1.44;0.47;0.944444444;0.979591837;0.345588235;1.104166667;0;2
