compCorp;altDorso;largPeito;altGarupa;compEspadua;compDorsLomb;altCernelha;largAncas;relacaoDorsoGarupa;relacaoAltCernelhaCorpo;relacaoAncasDorso;sexo
1.45;1.41;0.33;0.46;0.48;0.59;1.38;0.43;3.065217391;0.951724138;0.304964539;0
1.48;1.44;0.35;1.49;0.56;0.57;1.46;0.42;0.966442953;0.986486486;0.291666667;0
1.44;0.48;0.33;1.39;0.45;0.48;1.35;0.46;0.345323741;0.9375;0.958333333;1
1.4;1.31;0.34;1.4;0.54;0.66;1.37;0.47;0.935714286;0.978571429;0.358778626;1
1.42;1.36;0.33;1.45;0.55;0.52;1.42;0.46;0.937931034;1;0.338235294;0
1.38;1.34;0.3;1.38;0.46;0.48;1.36;0.39;0.971014493;0.985507246;0.291044776;1
1.5;1.4;0.38;1.41;0.48;0.54;1.4;0.5;0.992907801;0.933333333;0.357142857;0
1.38;1.33;0.25;1.36;0.42;0.48;1.35;0.37;0.977941176;0.97826087;0.278195489;0
1.46;1.4;0.37;1.44;0.56;0.52;1.43;0.43;0.972222222;0.979452055;0.307142857;0
1.37;1.35;0.3;1.38;0.47;0.48;1.37;0.39;0.97826087;1;0.288888889;1
1.43;1.35;0.31;1.42;0.47;0.49;1.39;0.48;0.950704225;0.972027972;0.355555556;0
1.5;1.4;0.34;1.4;0.47;0.6;1.39;0.39;1;0.926666667;0.278571429;0
1.4;1.3;0.31;1.38;0.57;0.66;1.36;0.45;0.942028986;0.971428571;0.346153846;1
1.49;1.41;0.36;1.42;0.5;0.55;1.41;0.5;0.992957746;0.946308725;0.354609929;0
1.43;1.32;0.33;1.38;0.57;0.67;1.36;0.44;0.956521739;0.951048951;0.333333333;1
1.49;1.39;0.39;1.4;0.55;0.59;1.38;0.46;0.992857143;0.926174497;0.330935252;0
1.48;1.32;0.33;1.41;0.59;0.7;1.41;0.49;0.936170213;0.952702703;0.371212121;1
1.43;1.35;0.38;1.43;0.58;0.7;1.42;0.47;0.944055944;0.993006993;0.348148148;1
1.43;1.35;0.32;1.42;0.59;0.66;1.4;0.46;0.950704225;0.979020979;0.340740741;1
1.43;1.36;0.32;1.41;0.53;0.52;1.4;0.41;0.964539007;0.979020979;0.301470588;0
1.38;1.36;0.32;1.41;0.44;0.49;1.37;0.4;0.964539007;0.992753623;0.294117647;0
1.55;1.34;0.4;1.44;0.51;0.6;1.43;0.54;0.930555556;0.922580645;0.402985075;1
1.38;1.39;0.34;1.42;0.46;0.43;1.38;0.45;0.978873239;1;0.323741007;0
1.4;1.33;0.33;1.35;0.45;0.42;1.35;0.45;0.985185185;0.964285714;0.338345865;0
1.4;1.33;0.37;1.38;0.55;0.59;1.38;0.43;0.963768116;0.985714286;0.323308271;1
1.44;1.38;0.36;1.43;0.53;0.54;1.41;0.49;0.965034965;0.979166667;0.355072464;0
1.41;1.36;0.3;1.42;0.58;0.55;1.4;0.46;0.957746479;0.992907801;0.338235294;1
1.47;1.34;0.32;1.42;0.56;0.54;1.39;0.43;0.943661972;0.945578231;0.320895522;1
1.46;1.4;0.37;1.45;0.55;0.51;1.43;0.41;0.965517241;0.979452055;0.292857143;0
1.52;1.45;0.38;1.48;0.61;0.56;1.47;0.45;0.97972973;0.967105263;0.310344828;0
1.43;1.37;0.36;1.42;0.54;0.53;1.41;0.42;0.964788732;0.986013986;0.306569343;1
1.4;1.34;0.34;1.39;0.46;0.46;1.31;0.45;0.964028777;0.935714286;0.335820896;1
1.43;1.39;0.26;1.42;0.45;0.52;1.4;0.39;0.978873239;0.979020979;0.28057554;0
1.43;1.37;0.35;1.42;0.55;0.58;1.4;0.47;0.964788732;0.979020979;0.343065693;0
1.43;1.37;0.31;1.41;0.54;0.53;1.4;0.4;0.971631206;0.979020979;0.291970803;0
1.45;1.39;0.32;1.43;0.61;0.54;1.42;0.44;0.972027972;0.979310345;0.316546763;0
1.38;1.3;0.31;1.39;0.51;0.55;1.36;0.43;0.935251799;0.985507246;0.330769231;1
1.45;1.37;0.37;1.45;0.59;0.59;1.43;0.46;0.944827586;0.986206897;0.335766423;0
1.48;1.43;0.35;1.46;0.52;0.62;1.46;0.46;0.979452055;0.986486486;0.321678322;1
1.39;1.37;0.31;1.4;0.49;0.44;1.34;0.42;0.978571429;0.964028777;0.306569343;1
1.39;1.36;0.32;1.39;0.53;0.5;1.38;0.4;0.978417266;0.992805755;0.294117647;1
1.5;1.46;0.38;1.52;0.56;0.65;1.52;0.45;0.960526316;1.013333333;0.308219178;0
1.43;1.37;0.31;1.41;0.58;0.53;1.4;0.39;0.971631206;0.979020979;0.284671533;1
1.38;1.33;0.32;1.38;0.56;0.52;1.35;0.42;0.963768116;0.97826087;0.315789474;1
1.45;1.39;0.38;1.43;0.58;0.6;1.43;0.45;0.972027972;0.986206897;0.323741007;0
1.48;1.34;0.35;1.42;0.55;0.55;1.41;0.47;0.943661972;0.952702703;0.350746269;1
1.45;1.34;0.4;1.41;0.57;0.57;1.41;0.47;0.95035461;0.972413793;0.350746269;0
1.42;1.37;0.27;1.39;0.42;0.52;1.38;0.39;0.985611511;0.971830986;0.284671533;0
1.39;1.29;0.35;1.36;0.55;0.65;1.35;0.49;0.948529412;0.971223022;0.379844961;1
1.43;1.33;0.28;1.37;0.46;0.44;1.37;0.4;0.97080292;0.958041958;0.30075188;0
1.4;1.43;0.33;1.43;0.47;0.57;1.39;0.43;1;0.992857143;0.300699301;0
1.46;1.32;0.33;1.4;0.57;0.53;1.38;0.46;0.942857143;0.945205479;0.348484848;1
1.37;1.33;0.28;1.34;0.43;0.49;1.35;0.4;0.992537313;0.98540146;0.30075188;0
1.42;1.36;0.35;1.44;0.6;0.64;1.42;0.45;0.944444444;1;0.330882353;0
1.4;1.31;0.31;1.28;0.4;0.5;1.31;0.45;1.0234375;0.935714286;0.34351145;1
1.42;1.27;0.34;1.39;0.55;0.58;1.35;0.47;0.913669065;0.950704225;0.37007874;1
1.35;1.35;0.34;1.37;0.45;0.52;1.37;0.46;0.98540146;1.014814815;0.340740741;0
1.47;1.39;0.32;1.44;0.48;0.56;1.43;0.42;0.965277778;0.972789116;0.302158273;0
1.38;1.33;0.27;1.37;0.44;0.46;1.37;0.38;0.97080292;0.992753623;0.285714286;0
1.45;1.39;0.38;1.43;0.58;0.6;1.43;0.45;0.972027972;0.986206897;0.323741007;0
1.39;1.36;0.3;1.39;0.62;0.49;1.37;0.42;0.978417266;0.985611511;0.308823529;1
1.42;1.33;0.3;1.34;0.45;0.5;1.35;0.38;0.992537313;0.950704225;0.285714286;0
1.38;1.35;0.31;1.38;0.44;0.51;1.36;0.41;0.97826087;0.985507246;0.303703704;0
1.5;1.44;0.34;1.47;0.46;0.59;1.43;0.45;0.979591837;0.953333333;0.3125;0
1.41;1.34;0.33;1.38;0.57;0.54;1.37;0.43;0.971014493;0.971631206;0.320895522;1
1.43;1.35;0.33;1.39;0.51;0.61;1.39;0.41;0.971223022;0.972027972;0.303703704;1
1.49;1.4;0.35;1.46;0.44;0.6;1.45;0.45;0.95890411;0.973154362;0.321428571;1
1.47;1.4;0.38;1.4;0.49;0.47;1.39;0.48;1;0.945578231;0.342857143;0
1.48;1.38;0.35;1.46;0.6;0.66;1.45;0.46;0.945205479;0.97972973;0.333333333;0
1.4;1.34;0.33;1.35;0.5;0.51;1.3;0.45;0.992592593;0.928571429;0.335820896;1
1.42;1.35;0.32;1.34;0.55;0.61;1.32;0.46;1.007462687;0.929577465;0.340740741;1
1.4;1.3;0.33;1.31;0.43;0.46;1.31;0.46;0.992366412;0.935714286;0.353846154;1
1.45;1.36;0.33;1.36;0.45;0.51;1.35;0.46;1;0.931034483;0.338235294;0
1.4;1.33;0.32;1.37;0.54;0.55;1.36;0.44;0.97080292;0.971428571;0.330827068;1
1.47;1.39;0.33;1.42;0.49;0.53;1.33;0.43;0.978873239;0.904761905;0.309352518;1
1.39;1.33;0.33;1.38;0.57;0.54;1.35;0.43;0.963768116;0.971223022;0.323308271;1
1.45;1.4;0.36;1.45;0.64;0.55;1.43;0.43;0.965517241;0.986206897;0.307142857;0
1.41;1.37;0.32;1.42;0.46;0.5;1.39;0.42;0.964788732;0.985815603;0.306569343;0
1.42;1.36;0.34;1.37;0.48;0.53;1.36;0.42;0.99270073;0.957746479;0.308823529;0
1.4;1.37;0.41;1.39;0.56;0.63;1.37;0.48;0.985611511;0.978571429;0.350364964;1
1.42;1.36;0.34;1.39;0.46;0.5;1.34;0.46;0.978417266;0.943661972;0.338235294;1
1.4;1.3;0.33;1.39;0.57;0.64;1.37;0.44;0.935251799;0.978571429;0.338461538;1
1.4;1.36;0.33;1.4;0.55;0.52;1.37;0.42;0.971428571;0.978571429;0.308823529;1
1.43;1.33;0.37;1.42;0.57;0.56;1.41;0.46;0.936619718;0.986013986;0.345864662;1
1.46;1.38;0.35;1.44;0.59;0.72;1.43;0.52;0.958333333;0.979452055;0.376811594;1
1.45;1.42;0.36;1.44;0.47;0.46;1.32;0.46;0.986111111;0.910344828;0.323943662;1
